REGISTRY,YEAR,SEX,CANCER,TOTAL,N0_4,N5_9,N10_14,N15_19,N20_24,N25_29,N30_34,N35_39,N40_44,N45_49,N50_54,N55_59,N60_64,N65_69,N70_74,N75_79,N80_84,N85+,N_UNK
80000200,1993,1,  1,420,30,18,11,8,29,46,58,37,28,21,28,16,23,24,12,14,7,1,9
80000200,1993,1,  2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,  3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,  4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
80000200,1993,1,  5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,  6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,  7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,  8,4,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
80000200,1993,1,  9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,1, 10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80000200,1993,1, 11,21,0,0,0,0,0,0,0,0,2,2,5,2,5,2,0,2,0,1,0
80000200,1993,1, 12,6,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0
80000200,1993,1, 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 18,15,0,0,0,0,0,0,0,0,1,1,5,0,4,1,0,2,0,1,0
80000200,1993,1, 19,14,0,0,0,1,1,1,0,0,2,2,2,1,3,1,0,0,0,0,0
80000200,1993,1, 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 21,6,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0
80000200,1993,1, 22,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
80000200,1993,1, 23,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
80000200,1993,1, 24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80000200,1993,1, 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
