NAME,YEAR,SEX,TOTAL,N0_4,N5_9,N10_14,N15_19,N20_24,N25_29,N30_34,N35_39,N40_44,N45_49,N50_54,N55_59,N60_64,N65_69,N70_74,N75_79,N80_84,N85.,N_UNK
Australia_NSW_ACT,1983,1,425,0,0,0,0,1,0,6,5,11,18,28,44,60,69,68,61,33,21,0
Australia_NSW_ACT,1983,2,254,0,0,0,0,1,2,2,3,6,6,7,16,26,35,32,45,36,37,0
Australia_NSW_ACT,1984,1,387,0,0,0,0,0,1,1,9,2,13,18,36,63,50,81,58,37,18,0
Australia_NSW_ACT,1984,2,247,0,0,0,0,0,1,2,5,3,6,6,17,28,33,38,39,32,37,0
Australia_NSW_ACT,1985,1,420,0,0,0,0,0,3,2,8,11,16,27,41,56,63,75,52,38,28,0
Australia_NSW_ACT,1985,2,225,0,0,0,0,0,0,1,2,7,9,9,11,24,16,28,35,43,40,0
Australia_NSW_ACT,1986,1,376,0,0,0,0,1,1,4,2,10,5,17,42,60,50,71,65,35,13,0
Australia_NSW_ACT,1986,2,258,0,0,0,0,0,6,2,6,6,12,10,17,20,31,39,47,28,34,0
Australia_NSW_ACT,1987,1,419,0,0,0,0,0,2,1,4,5,13,20,39,68,63,70,67,37,30,0
Australia_NSW_ACT,1987,2,233,0,0,0,0,0,1,2,2,6,6,7,8,28,22,33,45,35,38,0
Australia_NSW_ACT,1988,1,417,0,0,0,0,0,0,5,4,9,11,19,39,54,73,76,74,31,22,0
Australia_NSW_ACT,1988,2,223,0,0,0,0,0,1,1,4,5,11,9,9,20,23,45,25,39,31,0
Australia_NSW_ACT,1989,1,374,0,0,0,0,0,0,2,2,7,22,22,32,48,63,54,62,42,18,0
Australia_NSW_ACT,1989,2,209,0,0,0,0,0,1,2,6,5,6,11,10,16,29,34,42,22,25,0
Australia_NSW_ACT,1990,1,411,0,0,0,0,0,1,1,4,10,12,22,48,58,59,63,73,35,25,0
Australia_NSW_ACT,1990,2,225,0,0,0,0,0,1,1,5,6,4,8,12,14,33,36,40,28,37,0
Australia_NSW_ACT,1991,1,377,0,0,0,0,0,0,0,7,14,13,18,30,43,71,67,56,41,17,0
Australia_NSW_ACT,1991,2,236,0,0,0,0,2,1,3,7,4,7,15,9,20,22,42,41,31,32,0
Australia_NSW_ACT,1992,1,409,0,0,0,0,0,0,3,5,10,20,17,31,52,67,76,62,38,28,0
Australia_NSW_ACT,1992,2,217,0,0,0,0,0,4,3,5,4,4,7,7,23,29,29,43,35,24,0
Australia_NSW_ACT,1993,1,427,0,0,0,0,0,1,5,8,7,19,26,32,54,73,70,62,37,33,0
Australia_NSW_ACT,1993,2,221,0,0,0,0,0,0,2,5,5,8,8,8,21,27,26,37,39,35,0
